scenario,policy,position,window_index,prompt_id,domain,hits,misses,hit_rate,cumulative_hit_rate
stable,lfu,15,0,code_004,code,2018,6250,0.2440735365263667,0.24424895435533733
stable,lfu,16,0,code_005,code,1960,6152,0.2416173570019724,0.24409656787162354
stable,lfu,17,0,code_006,code,2099,6169,0.253870343492985,0.24464126830057428
stable,lfu,18,1,code_001,code,2378,6826,0.25836592785745327,0.24544300583904544
stable,lfu,19,1,code_002,code,1926,6030,0.2420814479638009,0.2452814229440054
stable,lfu,20,1,code_003,code,1879,5765,0.24581371009942438,0.2453049203049203
stable,lfu,21,1,code_004,code,2018,6250,0.2440735365263667,0.24524880393324072
stable,lfu,22,1,code_005,code,1960,6152,0.2416173570019724,0.24509338398227287
stable,lfu,23,1,code_006,code,2099,6169,0.253870343492985,0.24546024427727897
stable,lfu,24,1,code_001,code,2378,6826,0.25836592785745327,0.24603404633547812
stable,lfu,25,1,code_002,code,1926,6030,0.2420814479638009,0.24588776003870344
stable,lfu,26,1,code_003,code,1879,5765,0.24581371009942438,0.24588521732880528
stable,lfu,27,1,code_004,code,2018,6250,0.2440735365263667,0.24582033957033958
stable,lfu,28,1,code_005,code,1960,6152,0.2416173570019724,0.24567767958760126
stable,lfu,29,1,code_006,code,2099,6169,0.253870343492985,0.2459516298633018
stable,lfu,30,1,code_001,code,2378,6826,0.25836592785745327,0.24639715515627925
stable,lfu,31,1,code_002,code,1926,6030,0.2420814479638009,0.2462673020195144
stable,lfu,32,1,code_003,code,1879,5765,0.24581371009942438,0.24625455775111738
stable,lfu,33,1,code_004,code,2018,6250,0.2440735365263667,0.24619023158255213
stable,lfu,34,1,code_005,code,1960,6152,0.2416173570019724,0.24606162721360125
stable,lfu,35,1,code_006,code,2099,6169,0.253870343492985,0.24627922025398366
stable,lfu,36,2,code_001,code,2378,6826,0.25836592785745327,0.24664286928437873
stable,lfu,37,2,code_002,code,1926,6030,0.2420814479638009,0.24652724677575572
stable,lfu,38,2,code_003,code,1879,5765,0.24581371009942438,0.2465102825364834
stable,lfu,39,2,code_004,code,2018,6250,0.2440735365263667,0.24644919098561482
stable,lfu,40,2,code_005,code,1960,6152,0.2416173570019724,0.2463331912777896
stable,lfu,41,2,code_006,code,2099,6169,0.253870343492985,0.246513213390185
stable,lfu,42,2,code_001,code,2378,6826,0.25836592785745327,0.24682019765426264
stable,lfu,43,2,code_002,code,1926,6030,0.2420814479638009,0.24671642941286565
stable,lfu,44,2,code_003,code,1879,5765,0.24581371009942438,0.24669782838411938
stable,lfu,45,2,code_004,code,2018,6250,0.2440735365263667,0.24664061428767312
stable,lfu,46,2,code_005,code,1960,6152,0.2416173570019724,0.24653541518221342
stable,lfu,47,2,code_006,code,2099,6169,0.253870343492985,0.246688708242336
stable,lfu,48,2,code_001,code,2378,6826,0.25836592785745327,0.24695420186749667
stable,lfu,49,2,code_002,code,1926,6030,0.2420814479638009,0.2468602825745683
stable,lfu,50,2,code_003,code,1879,5765,0.24581371009942438,0.24684125398411114
stable,lfu,51,2,code_004,code,2018,6250,0.2440735365263667,0.24678787369835406
stable,lfu,52,2,code_005,code,1960,6152,0.2416173570019724,0.24669184981684983
stable,lfu,53,2,code_006,code,2099,6169,0.253870343492985,0.24682520423845344
stable,lfu,54,3,code_001,code,2378,6826,0.25836592785745327,0.24705903071287685
stable,lfu,55,3,code_002,code,1926,6030,0.2420814479638009,0.24697335514075305
stable,lfu,56,3,code_003,code,1879,5765,0.24581371009942438,0.2469544897333742
stable,lfu,57,3,code_004,code,2018,6250,0.2440735365263667,0.24690467227171958
stable,lfu,58,3,code_005,code,1960,6152,0.2416173570019724,0.24681646553638853
stable,lfu,59,3,code_006,code,2099,6169,0.253870343492985,0.24693440103534742
stable,lfu,60,3,code_001,code,2378,6826,0.25836592785745327,0.2471432768738436
stable,lfu,61,3,code_002,code,1926,6030,0.2420814479638009,0.24706457160725454
stable,lfu,62,3,code_003,code,1879,5765,0.24581371009942438,0.2470461600080104
stable,lfu,63,3,code_004,code,2018,6250,0.2440735365263667,0.24699957542949855
stable,lfu,64,3,code_005,code,1960,6152,0.2416173570019724,0.24691807416035721
stable,lfu,65,3,code_006,code,2099,6169,0.253870343492985,0.24702374386916973
stable,lfu,66,3,code_001,code,2378,6826,0.25836592785745327,0.24721246041042996
stable,lfu,67,3,code_002,code,1926,6030,0.2420814479638009,0.24713971044246275
stable,lfu,68,3,code_003,code,1879,5765,0.24581371009942438,0.24712188981250968
stable,lfu,69,3,code_004,code,2018,6250,0.2440735365263667,0.24707821240667957
stable,lfu,70,3,code_005,code,1960,6152,0.2416173570019724,0.247002508732714
stable,lfu,71,3,code_006,code,2099,6169,0.253870343492985,0.24709819623068835
stable,lfu,72,4,code_001,code,2378,6826,0.25836592785745327,0.24727028946547455
stable,lfu,73,4,code_002,code,1926,6030,0.2420814479638009,0.24720267809179408
stable,lfu,74,4,code_003,code,1879,5765,0.24581371009942438,0.24718550437702594
stable,lfu,75,4,code_004,code,2018,6250,0.2440735365263667,0.24714443508019204
stable,lfu,76,4,code_005,code,1960,6152,0.2416173570019724,0.24707378413130626
stable,lfu,77,4,code_006,code,2099,6169,0.253870343492985,0.24716119438274256
stable,lfu,78,4,code_001,code,2378,6826,0.25836592785745327,0.24731934731934732
stable,lfu,79,4,code_002,code,1926,6030,0.2420814479638009,0.24725621026731875
stable,lfu,80,4,code_003,code,1879,5765,0.24581371009942438,0.24723969566259285
stable,lfu,81,4,code_004,code,2018,6250,0.2440735365263667,0.2472009681218082
stable,lfu,82,4,code_005,code,1960,6152,0.2416173570019724,0.24713475426132211
